"","id","dam","sire","sex","dna","sire_dna","dam_dna","year","has_dna","par_rel","par_dna","fullsibs","sibships","depth","color","affected","family"
"1","5508",NA,NA,"female","KL659",NA,NA,2006,1,NA,FALSE,NA,NA,NA,1,NA,1
"2","5510",NA,NA,"male","KL661",NA,NA,2006,1,NA,FALSE,NA,3,NA,1,NA,1
"3","5601",NA,NA,"male","KL777",NA,NA,2007,1,NA,FALSE,NA,6,NA,1,NA,2
"4","5717",NA,NA,"male","KL668",NA,NA,2007,1,NA,FALSE,NA,3,NA,1,NA,4
"5","6104",NA,NA,"female","KL090112",NA,NA,2006,1,NA,FALSE,NA,NA,NA,1,NA,4
"6","6139",NA,NA,"male","KL080258",NA,NA,2007,1,NA,FALSE,NA,3,NA,1,NA,5
"7","6401",NA,NA,"female","KL090114",NA,NA,2008,1,NA,FALSE,NA,NA,NA,1,NA,1
"8","6403",NA,NA,"male","KL090108",NA,NA,2009,1,NA,FALSE,NA,NA,NA,1,NA,4
"9","6407",NA,NA,"male","KL090161",NA,NA,2009,1,NA,FALSE,NA,2,NA,1,NA,4
"10","6410",NA,NA,"male","KL090276",NA,NA,2009,1,NA,FALSE,NA,5,NA,1,NA,1
"11","6414",NA,NA,"male","KL090317",NA,NA,2009,1,NA,FALSE,NA,NA,NA,1,NA,1
"12","6416",NA,NA,"male","KL090321",NA,NA,2009,1,NA,FALSE,NA,2,NA,1,NA,5
"13","8219",NA,NA,"male","KL110450",NA,NA,2008,1,NA,FALSE,NA,5,NA,1,NA,1
"14","8221",NA,NA,"male","KL100102",NA,NA,2010,1,NA,FALSE,NA,NA,NA,1,NA,1
"15","8224",NA,NA,"male","KL100108",NA,NA,2010,1,NA,FALSE,NA,4,NA,1,NA,1
"16","8225",NA,NA,"male","KL100109",NA,NA,2010,1,NA,FALSE,NA,NA,NA,1,NA,1
"17","8226",NA,NA,"male","KL100112",NA,NA,2010,1,NA,FALSE,NA,NA,NA,1,NA,1
"18","8232",NA,NA,"male","KL100124",NA,NA,2010,1,NA,FALSE,NA,5,NA,1,NA,2
"19","8233",NA,NA,"male","KL100126",NA,NA,2010,1,NA,FALSE,NA,2,NA,1,NA,1
"20","8344",NA,NA,"male","KL100402",NA,NA,2010,1,NA,FALSE,NA,2,NA,1,NA,1
"21","9014",NA,NA,"male","KL110106",NA,NA,2011,1,NA,FALSE,NA,4,NA,1,NA,5
"22","9016",NA,NA,"male","KL110115",NA,NA,2011,1,NA,FALSE,NA,2,NA,1,NA,2
"23","9017",NA,NA,"male","KL110121",NA,NA,2011,1,NA,FALSE,NA,2,NA,1,NA,1
"24","9023",NA,NA,"male","KL110203",NA,NA,2011,1,NA,FALSE,NA,NA,NA,1,NA,1
"25","9025",NA,NA,"male","KL110217",NA,NA,2011,1,NA,FALSE,NA,NA,NA,1,NA,1
"26","9028",NA,NA,"male","KL110327",NA,NA,2011,1,NA,FALSE,NA,3,NA,1,NA,1
"27","9194",NA,NA,"male","SU110109",NA,NA,2011,1,NA,FALSE,NA,5,NA,1,NA,9
"28","9198",NA,NA,"male","SU110122",NA,NA,2011,1,NA,FALSE,NA,NA,NA,1,NA,9
"29","9420",NA,NA,"female","KL120104",NA,NA,2012,1,NA,FALSE,NA,2,NA,1,NA,1
"30","5914",NA,NA,"male","KL684","KL664","KL659",2007,1,0,FALSE,NA,1,NA,1,0,4
"31","6284","5508","5510","male","KL080249","KL661","KL659",2008,1,0,TRUE,3,1,1,1,0,1
"32","6417",NA,NA,"female","LL080163",NA,"LL212",2008,1,NA,FALSE,NA,3,NA,1,NA,4
"33","6430",NA,NA,"female","KL090245","DS","KL090101",2009,1,0,FALSE,NA,2,NA,1,0,1
"34","8374","6401","8224","female","KL100441","KL100108","KL090114",2010,1,0,TRUE,4,2,1,1,0,1
"35","8375","6401","8224","female","KL100442","KL100108","KL090114",2010,1,0,TRUE,4,NA,1,1,0,1
"36","8379",NA,NA,"male","KL100447","KL635",NA,2010,1,NA,FALSE,NA,NA,NA,1,NA,1
"37","9766",NA,NA,"female","KL130250","KL100102","KL110238",2013,1,NA,FALSE,NA,2,NA,1,NA,1
"38","5909",NA,NA,"female","KL677","KL637","KL215",2007,1,0,FALSE,0,NA,2,1,0,5
"39","5910",NA,NA,"female","KL678","KL440","KL215",2007,1,0,FALSE,NA,NA,NA,1,0,1
"40","6203",NA,NA,"male","KL080246","KL409","KL090112",2008,1,0,FALSE,NA,6,NA,1,0,1
"41","6204","6104","5914","male","KL080247","KL684","KL090112",2008,1,0,TRUE,1,1,1,1,0,4
"42","6500","6417","5717","male","KL090305","KL668","LL080163",2009,1,0,TRUE,3,3,1,1,0,4
"43","8308","6430","6284","male","KL100304","KL080249","KL090245",2010,1,0,TRUE,1,NA,2,1,0,1
"44","9528","8375","9025","male","KL120353","KL110217","KL100442",2012,1,0,TRUE,1,2,2,1,0,1
"45","5983",NA,NA,"female","KL751","KL482","KL421",2007,1,0,FALSE,0,NA,1,1,0,1
"46","6445",NA,NA,"female","KL090242","DS","KL415",2009,1,0,FALSE,NA,3,NA,1,0,4
"47","8240","5909","6416","male","KL100142","KL090321","KL677",2010,1,0,TRUE,2,NA,3,1,0,5
